,1p.prs,1p.pst,3p.prs,3p.pst,count
3094,suckle,suckled,suckles,suckled,75456
3095,disbar,disbarred,disbars,disbarred,0
3096,disbelieve,disbelieved,disbelieves,disbelieved,138705
3097,disbud,disbudded,disbuds,disbudded,0
3098,disburden,disburdened,disburdens,disburdened,0
3099,disburse,disbursed,disburses,disbursed,192296
3100,discard,discarded,discards,discarded,0
3101,discern,discerned,discerns,discerned,0
3102,sue,sued,sues,sued,11086374
3103,suffer,suffered,suffers,suffered,8733670
3104,discharge,discharged,discharges,discharged,11140169
3105,suffice,sufficed,suffices,sufficed,1528469
3106,discipline,disciplined,disciplines,disciplined,0
3107,suffocate,suffocated,suffocates,suffocated,140449
3108,disclaim,disclaimed,disclaims,disclaimed,684877
3109,disclose,disclosed,discloses,disclosed,5547253
3110,suffuse,suffused,suffuses,suffused,0
3111,discolour,discoloured,discolours,discoloured,0
3112,discomfit,discomfited,discomfits,discomfited,0
3113,sugar,sugared,sugars,sugared,0
3114,discommode,discommoded,discommodes,discommoded,0
3115,discompose,discomposed,discomposes,discomposed,0
3116,disconcert,disconcerted,disconcerts,disconcerted,0
3117,disconnect,disconnected,disconnects,disconnected,2407528
3118,suggest,suggested,suggests,suggested,36726336
3119,discontent,discontented,discontents,discontented,0
3120,discontinue,discontinued,discontinues,discontinued,1276606
3121,suit,suited,suits,suited,0
3122,sulk,sulked,sulks,sulked,0
3123,discount,discounted,discounts,discounted,0
3124,discountenance,discountenanced,discountenances,discountenanced,0
3125,discourage,discouraged,discourages,discouraged,1584422
3126,sully,sullied,sullies,sullied,458846
3127,discover,discovered,discovers,discovered,25852541
3128,sulphuret,sulphuretted,sulphurets,sulphuretted,0
3129,discredit,discredited,discredits,discredited,0
3130,discriminate,discriminated,discriminates,discriminated,1659114
3131,summarize,summarized,summarizes,summarized,2184649
3132,summer,summered,summers,summered,0
3133,discuss,discussed,discusses,discussed,43208309
3134,disdain,disdained,disdains,disdained,0
3135,summon,summoned,summons,summoned,0
3136,summons,summonsed,summonses,summonsed,0
3137,disembark,disembarked,disembarks,disembarked,0
3138,disembody,disembodied,disembodies,disembodied,0
3139,disembowel,disembowelled,disembowels,disembowelled,14848
3140,disembroil,disembroiled,disembroils,disembroiled,0
3141,disenchant,disenchanted,disenchants,disenchanted,24879
3142,sun,sunned,suns,sunned,121218500
3143,disencumber,disencumbered,disencumbers,disencumbered,0
3144,disendow,disendowed,disendows,disendowed,0
3145,sunbathe,sunbathed,sunbathes,sunbathed,55684
3146,disenfranchise,disenfranchised,disenfranchises,disenfranchised,0
3147,disengage,disengaged,disengages,disengaged,188093
3148,disentangle,disentangled,disentangles,disentangled,0
3149,disestablish,disestablished,disestablishes,disestablished,0
3150,disfavour,disfavoured,disfavours,disfavoured,0
3151,disfigure,disfigured,disfigures,disfigured,0
3152,sunder,sundered,sunders,sundered,0
3153,disforest,disforested,disforests,disforested,0
3154,disfranchise,disfranchised,disfranchises,disfranchised,0
3155,disfrock,disfrocked,disfrocks,disfrocked,0
3156,disgorge,disgorged,disgorges,disgorged,46944
3157,disgrace,disgraced,disgraces,disgraced,0
3158,disgruntle,disgruntled,disgruntles,disgruntled,0
3159,disguise,disguised,disguises,disguised,1460125
3160,disgust,disgusted,disgusts,disgusted,868088
3161,dish,dished,dishes,dished,21755859
3162,dishearten,disheartened,disheartens,disheartened,13359
3163,dishonour,dishonoured,dishonours,dishonoured,113265
3164,dishorn,dishorned,dishorns,dishorned,0
3165,sup,supped,sups,supped,0
3166,disillusion,disillusioned,disillusions,disillusioned,0
3167,superabound,superabounded,superabounds,superabounded,0
3168,disincline,disinclined,disinclines,disinclined,0
3169,superannuate,superannuated,superannuates,superannuated,0
3170,disinfect,disinfected,disinfects,disinfected,207027
3171,disinfest,disinfested,disinfests,disinfested,0
3172,disinherit,disinherited,disinherits,disinherited,0
3173,disintegrate,disintegrated,disintegrates,disintegrated,180747
3174,disinter,disinterred,disinters,disinterred,0
3175,disjoint,disjointed,disjoints,disjointed,700766
3176,superimpose,superimposed,superimposes,superimposed,75934
3177,superintend,superintended,superintends,superintended,41681
3178,dislike,disliked,dislikes,disliked,2025063
3179,dislocate,dislocated,dislocates,dislocated,31221
3180,dislodge,dislodged,dislodges,dislodged,0
3181,dismantle,dismantled,dismantles,dismantled,600275
3182,dismast,dismasted,dismasts,dismasted,0
3183,dismay,dismayed,dismays,dismayed,666985
3184,dismember,dismembered,dismembers,dismembered,0
3185,dismiss,dismissed,dismisses,dismissed,2431006
3186,superscribe,superscribed,superscribes,superscribed,0
3187,dismount,dismounted,dismounts,dismounted,0
3188,supersede,superseded,supersedes,superseded,0
3189,disobey,disobeyed,disobeys,disobeyed,238624
3190,disoblige,disobliged,disobliges,disobliged,0
3191,disorder,disordered,disorders,disordered,0
3192,supervene,supervened,supervenes,supervened,0
3193,supervise,supervised,supervises,supervised,1799608
3194,disorganize,disorganized,disorganizes,disorganized,0
3195,disorient,disoriented,disorients,disoriented,0
3196,disorientate,disorientated,disorientates,disorientated,0
3197,disown,disowned,disowns,disowned,0
3198,disparage,disparaged,disparages,disparaged,134159
3199,supplant,supplanted,supplants,supplanted,0
3200,supplement,supplemented,supplements,supplemented,12988231
3201,dispatch,dispatched,dispatches,dispatched,6004425
3202,supplicate,supplicated,supplicates,supplicated,25777
3203,dispel,dispelled,dispels,dispelled,476163
3204,supply,supplied,supplies,supplied,0
3205,dispense,dispensed,dispenses,dispensed,0
3206,support,supported,supports,supported,0
3207,disperse,dispersed,disperses,dispersed,583775
3208,suppose,supposed,supposes,supposed,11981451
3209,dispirit,dispirited,dispirits,dispirited,0
3210,displace,displaced,displaces,displaced,489049
3211,suppress,suppressed,suppresses,suppressed,2179050
3212,display,displayed,displays,displayed,0
3213,displease,displeased,displeases,displeased,61186
3214,suppurate,suppurated,suppurates,suppurated,0
3215,disport,disported,disports,disported,0
3216,dispose,disposed,disposes,disposed,2298026
3217,dispossess,dispossessed,dispossesses,dispossessed,0
3218,surcharge,surcharged,surcharges,surcharged,2074485
3219,disprove,disproved,disproves,disproved,323054
3220,dispute,disputed,disputes,disputed,11164678
3221,surf,surfed,surfs,surfed,11402999
3222,disqualify,disqualified,disqualifies,disqualified,377711
3223,surface,surfaced,surfaces,surfaced,0
3224,disquiet,disquieted,disquiets,disquieted,111998
3225,surfeit,surfeited,surfeits,surfeited,70422
3226,disregard,disregarded,disregards,disregarded,0
3227,disrelish,disrelished,disrelishes,disrelished,0
3228,disremember,disremembered,disremembers,disremembered,0
3229,surge,surged,surges,surged,5436623
3230,disrobe,disrobed,disrobes,disrobed,30822
3231,disrupt,disrupted,disrupts,disrupted,1365748
3232,surmise,surmised,surmises,surmised,201587
3233,surmount,surmounted,surmounts,surmounted,97975
3234,dissatisfy,dissatisfied,dissatisfies,dissatisfied,0
3235,dissect,dissected,dissects,dissected,258612
3236,surpass,surpassed,surpasses,surpassed,0
3237,dissemble,dissembled,dissembles,dissembled,0
3238,disseminate,disseminated,disseminates,disseminated,1585078
3239,dissent,dissented,dissents,dissented,0
3240,surprise,surprised,surprises,surprised,0
3241,dissever,dissevered,dissevers,dissevered,0
3242,surrender,surrendered,surrenders,surrendered,4018892
3243,dissimulate,dissimulated,dissimulates,dissimulated,0
3244,dissipate,dissipated,dissipates,dissipated,341613
3245,dissociate,dissociated,dissociates,dissociated,111956
3246,surround,surrounded,surrounds,surrounded,6660071
3247,surtax,surtaxed,surtaxes,surtaxed,77454
3248,dissolve,dissolved,dissolves,dissolved,1307386
3249,survey,surveyed,surveys,surveyed,0
3250,dissuade,dissuaded,dissuades,dissuaded,220587
3251,survive,survived,survives,survived,8286260
3252,distance,distanced,distances,distanced,0
3253,suspect,suspected,suspects,suspected,9889728
3254,suspend,suspended,suspends,suspended,3312160
3255,distemper,distempered,distempers,distempered,0
3256,distend,distended,distends,distended,13378
3257,distil,distilled,distils,distilled,43074
3258,sustain,sustained,sustains,sustained,4199639
3259,distinguish,distinguished,distinguishes,distinguished,4846365
3260,swab,swabbed,swabs,swabbed,420847
3261,swaddle,swaddled,swaddles,swaddled,35737
3262,distort,distorted,distorts,distorted,690980
3263,distract,distracted,distracts,distracted,0
3264,swag,swagged,swags,swagged,0
3265,swagger,swaggered,swaggers,swaggered,0
3266,distrain,distrained,distrains,distrained,0
3267,distress,distressed,distresses,distressed,3457884
3268,swallow,swallowed,swallows,swallowed,3832303
3269,distribute,distributed,distributes,distributed,8678754
3270,swamp,swamped,swamps,swamped,0
3271,swan,swanned,swans,swanned,4765643
3272,swank,swanked,swanks,swanked,695208
3273,distrust,distrusted,distrusts,distrusted,750887
3274,disturb,disturbed,disturbs,disturbed,0
3275,swap,swapped,swaps,swapped,7936113
3276,disunite,disunited,disunites,disunited,0
3277,swarm,swarmed,swarms,swarmed,0
3278,swash,swashed,swashes,swashed,265955
3279,ditch,ditched,ditches,ditched,0
3280,dither,dithered,dithers,dithered,0
3281,swat,swatted,swats,swatted,1474739
3282,swathe,swathed,swathes,swathed,58180
3283,sway,swayed,sways,swayed,1540207
3284,divagate,divagated,divagates,divagated,0
3285,swear,swore,swears,swore,3082372
3286,dive,dived,dives,dived,0
3287,dive-bomb,dive-bombed,dive-bombs,dive-bombed,0
3288,diverge,diverged,diverges,diverged,313759
3289,sweat,sweated,sweats,sweated,4551615
3290,diversify,diversified,diversifies,diversified,705173
3291,divert,diverted,diverts,diverted,1018673
3292,sweep,swept,sweeps,swept,3623863
3293,divide,divided,divides,divided,0
3294,divine,divined,divines,divined,9413498
3295,sweeten,sweetened,sweetens,sweetened,186636
3296,swell,swelled,swells,swelled,2213445
3297,divorce,divorced,divorces,divorced,0
3298,divulge,divulged,divulges,divulged,436545
3299,swelter,sweltered,swelters,sweltered,0
3300,divvy,divvied,divvies,divvied,33136
3301,swerve,swerved,swerves,swerved,237144
3302,swig,swigged,swigs,swigged,377455
3303,dizzy,dizzied,dizzies,dizzied,1424316
3304,swill,swilled,swills,swilled,0
3305,swim,swam,swims,swam,8739102
3306,do,did,does,did,0
3307,swindle,swindled,swindles,swindled,0
3308,dock,docked,docks,docked,6017754
3309,dock,docked,docks,docked,6017754
3310,swinge,swinged,swinges,swinged,0
3311,swing,swung,swings,swung,0
3312,docket,docketed,dockets,docketed,0
3313,doctor,doctored,doctors,doctored,0
3314,swipe,swiped,swipes,swiped,0
3315,swirl,swirled,swirls,swirled,0
3316,swish,swished,swishes,swished,949054
3317,document,documented,documents,documented,0
3318,dodder,doddered,dodders,doddered,44970
3319,switch,switched,switches,switched,45332755
3320,dodge,dodged,dodges,dodged,14768509
3321,swivel,swivelled,swivels,swivelled,3229287
3322,doff,doffed,doffs,doffed,0
3323,dog,dogged,dogs,dogged,0
3324,swoon,swooned,swoons,swooned,0
3325,swoop,swooped,swoops,swooped,0
3326,swot,swotted,swots,swotted,399844
3327,syllabicate,syllabicated,syllabicates,syllabicated,0
3328,dogmatize,dogmatized,dogmatizes,dogmatized,0
3329,syllabify,syllabified,syllabifies,syllabified,0
3330,syllabize,syllabized,syllabizes,syllabized,0
3331,symbolize,symbolized,symbolizes,symbolized,0
3332,sympathize,sympathized,sympathizes,sympathized,310322
3333,synchronize,synchronized,synchronizes,synchronized,1336374
3334,domesticate,domesticated,domesticates,domesticated,35268
3335,syncopate,syncopated,syncopates,syncopated,0
3336,domicile,domiciled,domiciles,domiciled,674245
3337,syndicate,syndicated,syndicates,syndicated,0
3338,dominate,dominated,dominates,dominated,2754313
3339,domineer,domineered,domineers,domineered,0
3340,don,donned,dons,donned,26003672
3341,synthesize,synthesized,synthesizes,synthesized,0
3342,donate,donated,donates,donated,16088860
3343,syringe,syringed,syringes,syringed,1086828
3344,doodle,doodled,doodles,doodled,821153
3345,doom,doomed,dooms,doomed,0
3346,systematize,systematized,systematizes,systematized,40455
3347,table,tabled,tables,tabled,0
3348,dope,doped,dopes,doped,0
3349,taboo,tabooed,taboos,tabooed,3079923
3350,dose,dosed,doses,dosed,15959187
3351,tabulate,tabulated,tabulates,tabulated,148479
3352,dot,dotted,dots,dotted,0
3353,tack,tacked,tacks,tacked,2547602
3354,tackle,tackled,tackles,tackled,6445389
3355,double,doubled,doubles,doubled,77287578
3356,double-check,double-checked,double-checks,double-checked,0
3357,double-clutch,double-clutched,double-clutches,double-clutched,0
3358,double-cross,double-crossed,double-crosses,double-crossed,0
3359,tag,tagged,tags,tagged,32432108
3360,double-declutch,double-declutched,double-declutches,double-declutched,0
3361,tail,tailed,tails,tailed,10557843
3362,double-glaze,double-glazed,double-glazes,double-glazed,0
3363,tailor,tailored,tailors,tailored,0
3364,double-stop,double-stopped,double-stops,double-stopped,0
3365,taint,tainted,taints,tainted,0
3366,double-talk,double-talked,double-talks,double-talked,0
3367,take,took,takes,took,0
3368,doubt,doubted,doubts,doubted,20311261
3369,douse,doused,douses,doused,0
3370,dovetail,dovetailed,dovetails,dovetailed,0
3371,dower,dowered,dowers,dowered,181025
3372,down,downed,downs,downed,0
3373,talk,talked,talks,talked,97850837
3374,downgrade,downgraded,downgrades,downgraded,523487
3375,tally,tallied,tallies,tallied,1812605
3376,tame,tamed,tames,tamed,1270260
3377,dowse,dowsed,dowses,dowsed,52031
3378,tamp,tamped,tamps,tamped,95517
3379,doze,dozed,dozes,dozed,166407
3380,tan,tanned,tans,tanned,9747576
3381,draft,drafted,drafts,drafted,35033621
3382,tangle,tangled,tangles,tangled,0
3383,tango,tangoed,tangos,tangoed,2727306
3384,drag,dragged,drags,dragged,9150581
3385,draggle,draggled,draggles,draggled,0
3386,drain,drained,drains,drained,6411642
3387,tantalize,tantalized,tantalizes,tantalized,50448
3388,tap,tapped,taps,tapped,8770914
3389,tap,tapped,taps,tapped,8770914
3390,dramatize,dramatized,dramatizes,dramatized,77233
3391,tap-dance,tap-danced,tap-dances,tap-danced,0
3392,drape,draped,drapes,draped,0
3393,tape,taped,tapes,taped,0
3394,drat,dratted,drats,dratted,0
3395,taper,tapered,tapers,tapered,0
3396,draw,drew,draws,drew,22705371
3397,tar,tarred,tars,tarred,0
3398,drawl,drawled,drawls,drawled,0
3399,tarmac,tarmacked,tarmacs,tarmacked,367402
3400,tarmacadam,tarmacadamed,tarmacadams,tarmacadamed,0
3401,tarnish,tarnished,tarnishes,tarnished,311663
3402,dread,dreaded,dreads,dreaded,0
3403,tarry,tarried,tarries,tarried,243850
3404,dream,dreamed,dreams,dreamed,0
3405,task,tasked,tasks,tasked,0
3406,dredge,dredged,dredges,dredged,585318
3407,dredge,dredged,dredges,dredged,585318
3408,taste,tasted,tastes,tasted,17311343
3409,drench,drenched,drenches,drenched,0
3410,dress,dressed,dresses,dressed,0
3411,tat,tatted,tats,tatted,1572566
3412,dribble,dribbled,dribbles,dribbled,322187
3413,tattle,tattled,tattles,tattled,0
3414,tattoo,tattooed,tattoos,tattooed,6839828
3415,drift,drifted,drifts,drifted,0
3416,taunt,taunted,taunts,taunted,0
3417,drill,drilled,drills,drilled,0
3418,drink,drank,drinks,drank,29254937
3419,tax,taxed,taxes,taxed,0
3420,drip,dripped,drips,dripped,0
3421,drip-dry,drip-dried,drip-dries,drip-dried,0
3422,taxi,taxied,taxis,taxied,0
3423,drive,drove,drives,drove,107799371
3424,drivel,drivelled,drivels,drivelled,0
3425,teach,taught,teaches,taught,19079783
3426,drizzle,drizzled,drizzles,drizzled,640385
3427,drone,droned,drones,droned,0
3428,drool,drooled,drools,drooled,0
3429,droop,drooped,droops,drooped,0
3430,drop,dropped,drops,dropped,0
3431,dropkick,dropkicked,dropkicks,dropkicked,0
3432,tear,tore,tears,tore,0
3433,drown,drowned,drowns,drowned,1156106
3434,drowse,drowsed,drowses,drowsed,0
3435,tease,teased,teases,teased,0
3436,drub,drubbed,drubs,drubbed,14509
3437,drudge,drudged,drudges,drudged,1087893
3438,drug,drugged,drugs,drugged,0
3439,drum,drummed,drums,drummed,14015510
3440,dry,dried,dries,dried,31744277
3441,dry-clean,dry-cleaned,dry-cleans,dry-cleaned,0
3442,tee,teed,tees,teed,0
3443,teem,teemed,teems,teemed,205420
3444,dub,dubbed,dubs,dubbed,4017027
3445,teeter,teetered,teeters,teetered,0
3446,dubbin,dubbined,dubbins,dubbined,29770
3447,teethe,teethed,teethes,teethed,0
3448,telecast,telecast,telecasts,telecast,0
3449,duck,ducked,ducks,ducked,0
3450,telegraph,telegraphed,telegraphs,telegraphed,0
3451,telephone,telephoned,telephones,telephoned,0
3452,duel,duelled,duels,duelled,2136368
3453,telescope,telescoped,telescopes,telescoped,0
3454,televise,televised,televises,televised,71971
3455,telex,telexed,telexes,telexed,916110
3456,tell,told,tells,told,109553730
3457,dull,dulled,dulls,dulled,3211484
3458,dumbfound,dumbfounded,dumbfounds,dumbfounded,0
3459,temper,tempered,tempers,tempered,0
3460,dump,dumped,dumps,dumped,6942258
3461,dun,dunned,duns,dunned,1673771
3462,temporize,temporized,temporizes,temporized,0
3463,tempt,tempted,tempts,tempted,494586
3464,dunk,dunked,dunks,dunked,1187317
3465,dupe,duped,dupes,duped,383659
3466,duplicate,duplicated,duplicates,duplicated,6146837
3467,tenant,tenanted,tenants,tenanted,0
3468,tend,tended,tends,tended,13840765
3469,tender,tendered,tenders,tendered,8921535
3470,tender,tendered,tenders,tendered,8921535
3471,dust,dusted,dusts,dusted,0
3472,tenderize,tenderized,tenderizes,tenderized,14629
3473,tense,tensed,tenses,tensed,2320926
3474,dwarf,dwarfed,dwarfs,dwarfed,0
3475,dwell,dwelt,dwells,dwelt,0
3476,dwindle,dwindled,dwindles,dwindled,0
3477,dye,dyed,dyes,dyed,0
3478,dynamite,dynamited,dynamites,dynamited,0
3479,tergiversate,tergiversated,tergiversates,tergiversated,0
3480,term,termed,terms,termed,0
3481,terminate,terminated,terminates,terminated,4661569
3482,terrace,terraced,terraces,terraced,0
3483,terrify,terrified,terrifies,terrified,98104
3484,earmark,earmarked,earmarks,earmarked,0
3485,terrorize,terrorized,terrorizes,terrorized,168726
3486,earn,earned,earns,earned,20305486
3487,tessellate,tessellated,tessellates,tessellated,0
3488,test,tested,tests,tested,0
3489,earth,earthed,earths,earthed,0
3490,test-drive,test-drove,test-drives,test-drove,0
3491,testify,testified,testifies,testified,2268094
3492,ease,eased,eases,eased,0
3493,tether,tethered,tethers,tethered,343977
3494,thank,thanked,thanks,thanked,63234550
3495,eat,ate,eats,ate,29237400
3496,eavesdrop,eavesdropped,eavesdrops,eavesdropped,0
3497,ebb,ebbed,ebbs,ebbed,766862
3498,thatch,thatched,thatches,thatched,0
3499,thaw,thawed,thaws,thawed,0
3500,echo,echoed,echoes,echoed,19410462
3501,eclipse,eclipsed,eclipses,eclipsed,0
3502,economize,economized,economizes,economized,67058
3503,theorize,theorized,theorizes,theorized,103732
3504,eddy,eddied,eddies,eddied,2589078
3505,edge,edged,edges,edged,0
3506,edify,edified,edifies,edified,69341
3507,edit,edited,edits,edited,94159529
3508,editorialize,editorialized,editorializes,editorialized,16092
3509,educate,educated,educates,educated,4716370
3510,educe,educed,educes,educed,0
3511,eff,effed,effs,effed,3308296
3512,efface,effaced,effaces,effaced,0
3513,effect,effected,effects,effected,0
3514,effectuate,effectuated,effectuates,effectuated,0
3515,thicken,thickened,thickens,thickened,228030
3516,effervesce,effervesced,effervesces,effervesced,0
3517,thieve,thieved,thieves,thieved,13240
3518,effloresce,effloresced,effloresces,effloresced,0
3519,thin,thinned,thins,thinned,16007743
3520,effuse,effused,effuses,effused,0
3521,think,thought,thinks,thought,217856550
3522,thirst,thirsted,thirsts,thirsted,0
3523,egotrip,egotripped,egotrips,egotripped,0
3524,ejaculate,ejaculated,ejaculates,ejaculated,412335
3525,eject,ejected,ejects,ejected,935010
3526,elaborate,elaborated,elaborates,elaborated,3295319
3527,thrash,thrashed,thrashes,thrashed,901098
3528,elapse,elapsed,elapses,elapsed,0
3529,thread,threaded,threads,threaded,0
3530,threaten,threatened,threatens,threatened,3050485
3531,elate,elated,elates,elated,16161
3532,elbow,elbowed,elbows,elbowed,0
3533,elect,elected,elects,elected,5748899
3534,electioneer,electioneered,electioneers,electioneered,0
3535,thresh,threshed,threshes,threshed,185965
3536,electrify,electrified,electrifies,electrified,54346
3537,thrill,thrilled,thrills,thrilled,0
3538,thrive,thrived,thrives,thrived,1822797
3539,electrocute,electrocuted,electrocutes,electrocuted,32840
3540,throb,throbbed,throbs,throbbed,212889
3541,throng,thronged,throngs,thronged,328670
3542,electroplate,electroplated,electroplates,electroplated,40409
3543,throttle,throttled,throttles,throttled,2129057
3544,throw,threw,throws,threw,15751985
3545,elevate,elevated,elevates,elevated,802256
3546,thrum,thrummed,thrums,thrummed,0
3547,thrust,thrust,thrusts,thrust,3500671
3548,thud,thudded,thuds,thudded,392615
3549,thumb,thumbed,thumbs,thumbed,0
3550,elicit,elicited,elicits,elicited,821500
3551,elide,elided,elides,elided,23795
3552,eliminate,eliminated,eliminates,eliminated,10836172
3553,thump,thumped,thumps,thumped,456603
3554,thunder,thundered,thunders,thundered,0
3555,thwack,thwacked,thwacks,thwacked,45950
3556,thwart,thwarted,thwarts,thwarted,578726
3557,elongate,elongated,elongates,elongated,0
3558,elope,eloped,elopes,eloped,0
3559,elucidate,elucidated,elucidates,elucidated,428002
3560,elude,eluded,eludes,eluded,215496
3561,tick,ticked,ticks,ticked,4449569
3562,ticket,ticketed,tickets,ticketed,0
3563,tickle,tickled,tickles,tickled,0
3564,emaciate,emaciated,emaciates,emaciated,0
3565,emancipate,emancipated,emancipates,emancipated,56568
3566,emasculate,emasculated,emasculates,emasculated,21423
3567,embalm,embalmed,embalms,embalmed,17924
3568,embank,embanked,embanks,embanked,0
3569,embargo,embargoed,embargos,embargoed,0
3570,embark,embarked,embarks,embarked,0
3571,embarrass,embarrassed,embarrasses,embarrassed,0
3572,embed,embedded,embeds,embedded,1217930
3573,embellish,embellished,embellishes,embellished,207110
3574,tidy,tidied,tidies,tidied,1771735
3575,tie,tied,ties,tied,14830885
3576,embezzle,embezzled,embezzles,embezzled,24883
3577,embitter,embittered,embitters,embittered,0
3578,emblazon,emblazoned,emblazons,emblazoned,19110
3579,tie-dye,tie-dyed,tie-dyes,tie-dyed,0
3580,embody,embodied,embodies,embodied,595383
3581,embolden,emboldened,emboldens,emboldened,62998
3582,emboss,embossed,embosses,embossed,283630
3583,embrace,embraced,embraces,embraced,4489178
3584,embrocate,embrocated,embrocates,embrocated,0
3585,tighten,tightened,tightens,tightened,1373432
3586,embroider,embroidered,embroiders,embroidered,135407
3587,embroil,embroiled,embroils,embroiled,0
3588,emcee,emceed,emcees,emceed,294621
3589,emend,emended,emends,emended,0
3590,emerge,emerged,emerges,emerged,4249371
3591,tile,tiled,tiles,tiled,0
3592,till,tilled,tills,tilled,16376756
3593,emigrate,emigrated,emigrates,emigrated,212408
3594,tilt,tilted,tilts,tilted,0
3595,emit,emitted,emits,emitted,1260296
3596,time,timed,times,timed,0
3597,emote,emoted,emotes,emoted,168497
3598,empanel,empanelled,empanels,empanelled,0
3599,emphasize,emphasized,emphasizes,emphasized,3404529
3600,emplane,emplaned,emplanes,emplaned,0
3601,employ,employed,employs,employed,5836385
3602,timetable,timetabled,timetables,timetabled,0
3603,empower,empowered,empowers,empowered,0
3604,empty,emptied,empties,emptied,0
3605,tin,tinned,tins,tinned,0
3606,tincture,tinctured,tinctures,tinctured,0
3607,emulate,emulated,emulates,emulated,1048404
3608,ting,tinged,tings,tinged,1264826
3609,emulsify,emulsified,emulsifies,emulsified,21474
3610,tinge,tinged,tinges,tinged,0
3611,emulsion,emulsioned,emulsions,emulsioned,0
3612,tingle,tingled,tingles,tingled,384422
3613,enable,enabled,enables,enabled,39733007
3614,enact,enacted,enacts,enacted,1263603
3615,tinker,tinkered,tinkers,tinkered,983290
3616,tinkle,tinkled,tinkles,tinkled,0
3617,enamel,enamelled,enamels,enamelled,2509986
3618,enamour,enamoured,enamours,enamoured,0
3619,encamp,encamped,encamps,encamped,0
3620,encapsulate,encapsulated,encapsulates,encapsulated,319885
3621,encase,encased,encases,encased,0
3622,tinsel,tinselled,tinsels,tinselled,0
3623,tint,tinted,tints,tinted,0
3624,enchain,enchained,enchains,enchained,0
3625,enchant,enchanted,enchants,enchanted,300839
3626,tip,tipped,tips,tipped,0
3627,encipher,enciphered,enciphers,enciphered,15398
3628,encircle,encircled,encircles,encircled,0
3629,enclose,enclosed,encloses,enclosed,1209007
3630,tipple,tippled,tipples,tippled,0
3631,encode,encoded,encodes,encoded,2233497
3632,encompass,encompassed,encompasses,encompassed,0
3633,encore,encored,encores,encored,3192276
3634,tiptoe,tiptoed,tiptoes,tiptoed,0
3635,encounter,encountered,encounters,encountered,7426608
3636,encourage,encouraged,encourages,encouraged,22019763
3637,encroach,encroached,encroaches,encroached,157029
3638,tire,tired,tires,tired,0
3639,encrust,encrusted,encrusts,encrusted,0
3640,encumber,encumbered,encumbers,encumbered,101195
3641,end,ended,ends,ended,0
3642,endanger,endangered,endangers,endangered,688311
3643,endeavour,endeavoured,endeavours,endeavoured,1863290
3644,titillate,titillated,titillates,titillated,31913
3645,titivate,titivated,titivates,titivated,0
3646,endorse,endorsed,endorses,endorsed,3732894
3647,titter,tittered,titters,tittered,0
3648,endow,endowed,endows,endowed,195844
3649,tittle-tattle,tittle-tattled,tittle-tattles,tittle-tattled,0
3650,endue,endued,endues,endued,0
3651,endure,endured,endures,endured,1931473
3652,toady,toadied,toadies,toadied,63910
3653,energize,energized,energizes,energized,460199
3654,toast,toasted,toasts,toasted,0
3655,enervate,enervated,enervates,enervated,0
3656,enfeeble,enfeebled,enfeebles,enfeebled,0
3657,enfilade,enfiladed,enfilades,enfiladed,0
3658,enfold,enfolded,enfolds,enfolded,0
3659,enforce,enforced,enforces,enforced,4916571
3660,toboggan,tobogganed,toboggans,tobogganed,0
3661,enfranchise,enfranchised,enfranchises,enfranchised,14532
3662,engage,engaged,engages,engaged,9919952
3663,toddle,toddled,toddles,toddled,0
3664,engender,engendered,engenders,engendered,257527
3665,engineer,engineered,engineers,engineered,0
3666,engraft,engrafted,engrafts,engrafted,0
3667,engrave,engraved,engraves,engraved,244313
3668,engross,engrossed,engrosses,engrossed,0
3669,engulf,engulfed,engulfs,engulfed,0
3670,enhance,enhanced,enhances,enhanced,22310420
3671,toil,toiled,toils,toiled,0
3672,enjoin,enjoined,enjoins,enjoined,215226
3673,enjoy,enjoyed,enjoys,enjoyed,50141455
3674,enkindle,enkindled,enkindles,enkindled,0
3675,enlarge,enlarged,enlarges,enlarged,32120976
3676,enlighten,enlightened,enlightens,enlightened,663527
3677,token,tokened,tokens,tokened,5672353
3678,enlist,enlisted,enlists,enlisted,695738
3679,enliven,enlivened,enlivens,enlivened,160888
3680,tolerate,tolerated,tolerates,tolerated,1921707
3681,enmesh,enmeshed,enmeshes,enmeshed,0
3682,toll,tolled,tolls,tolled,0
3683,ennoble,ennobled,ennobles,ennobled,21592
3684,tomahawk,tomahawked,tomahawks,tomahawked,679666
3685,enounce,enounced,enounces,enounced,0
3686,enplane,enplaned,enplanes,enplaned,0
3687,enrage,enraged,enrages,enraged,0
3688,enrapture,enraptured,enraptures,enraptured,0
3689,enrich,enriched,enriches,enriched,1542232
3690,enrol,enroled,enrols,enroled,878274
3691,ensanguine,ensanguined,ensanguines,ensanguined,0
3692,ensconce,ensconced,ensconces,ensconced,0
3693,enshrine,enshrined,enshrines,enshrined,68426
3694,enshroud,enshrouded,enshrouds,enshrouded,0
3695,tone,toned,tones,toned,0
3696,ensile,ensiled,ensiles,ensiled,0
3697,enslave,enslaved,enslaves,enslaved,177289
3698,ensnare,ensnared,ensnares,ensnared,49715
3699,ensue,ensued,ensues,ensued,0
3700,ensure,ensured,ensures,ensured,59507606
3701,entail,entailed,entails,entailed,1031285
3702,entangle,entangled,entangles,entangled,86348
